model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_lut_RKQJPG.onnx,108,128,128,3,2,3.73248,0.00128,0.456928
dwconv-bn-relu_lut_NZWUGM.onnx,108,64,64,5,1,19.408896,0.001664,1.9601620000000002
dwconv-bn-relu_lut_YEWC5G.onnx,108,64,64,5,2,4.852224,0.001664,0.563948
dwconv-bn-relu_lut_PF56NH.onnx,108,96,96,5,1,29.113344,0.002496,2.5966039999999997
dwconv-bn-relu_lut_4OZYR5.onnx,108,96,96,5,2,7.278336,0.002496,0.698718
dwconv-bn-relu_lut_CWJ4ZJ.onnx,108,128,128,5,1,38.817792,0.003328,3.4459720000000003
dwconv-bn-relu_lut_44GEC1.onnx,108,128,128,5,2,9.704448,0.003328,1.084586
dwconv-bn-relu_lut_I4Q9MX.onnx,108,192,192,3,1,22.39488,0.00192,2.2414199999999997
dwconv-bn-relu_lut_U6CYUV.onnx,108,192,192,3,2,5.59872,0.00192,0.684786
dwconv-bn-relu_lut_6KA3HW.onnx,108,256,256,3,1,29.85984,0.00256,2.91154
dwconv-bn-relu_lut_51VC8Z.onnx,108,256,256,3,2,7.46496,0.00256,0.984454
dwconv-bn-relu_lut_1YWQAD.onnx,108,192,192,5,1,58.226688,0.004992,4.752089999999999
dwconv-bn-relu_lut_TLOLZY.onnx,108,192,192,5,2,14.556672,0.004992,1.2810359999999998
dwconv-bn-relu_lut_S97YPE.onnx,108,256,256,5,1,77.635584,0.006656,6.1113859999999995
dwconv-bn-relu_lut_SKL8ZQ.onnx,108,256,256,5,2,19.408896,0.006656,1.686652
dwconv-bn-relu_lut_82T3YV.onnx,104,64,64,3,1,6.92224,0.00064,0.8261179999999999
dwconv-bn-relu_lut_L4FADS.onnx,104,64,64,3,2,1.73056,0.00064,0.24050399999999997
dwconv-bn-relu_lut_6RQ9W2.onnx,104,96,96,3,1,10.38336,0.00096,1.166416
