model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
conv-bn-relu_lut_KG4H8Q.onnx,7,1248,256,1,1,15.667456,0.319744,0.184314
conv-bn-relu_lut_NDCTWY.onnx,14,1664,256,1,1,83.54304,0.42624,0.7332399999999999
conv-bn-relu_lut_KSKADG.onnx,7,1664,256,1,1,20.88576,0.42624,0.25521400000000005
conv-bn-relu_lut_Q937CJ.onnx,14,224,896,1,1,39.5136,0.2016,0.40937599999999996
conv-bn-relu_lut_A17SYZ.onnx,14,896,192,1,1,33.755904,0.172224,0.329434
conv-bn-relu_lut_4C0EP1.onnx,7,896,192,1,1,8.438976,0.172224,0.11818599999999999
conv-bn-relu_lut_1IM723.onnx,14,224,1344,1,1,59.2704,0.3024,0.589236
conv-bn-relu_lut_A2963S.onnx,14,1344,192,1,1,50.61504,0.25824,0.4666680000000001
conv-bn-relu_lut_EG2L56.onnx,7,1344,192,1,1,12.65376,0.25824,0.15602999999999997
conv-bn-relu_lut_E5S2NL.onnx,14,224,1792,1,1,79.0272,0.4032,0.771242
conv-bn-relu_lut_LVHKSR.onnx,14,1792,192,1,1,67.474176,0.344256,0.6543680000000001
conv-bn-relu_lut_G0TFJF.onnx,7,1792,192,1,1,16.868544,0.344256,0.19587
conv-bn-relu_lut_1605UM.onnx,14,896,208,1,1,36.568896,0.186576,0.352846
conv-bn-relu_lut_1DY5LM.onnx,7,896,208,1,1,9.142224,0.186576,0.12652
conv-bn-relu_lut_NMV5FC.onnx,14,1344,208,1,1,54.83296,0.27976,0.512172
conv-bn-relu_lut_6S9FQD.onnx,7,1344,208,1,1,13.70824,0.27976,0.167086
conv-bn-relu_lut_J7UNW5.onnx,14,1792,208,1,1,73.097024,0.372944,0.6493159999999999
conv-bn-relu_lut_ARUYYX.onnx,7,1792,208,1,1,18.274256,0.372944,0.209246
conv-bn-relu_lut_HKMSMV.onnx,14,896,224,1,1,39.381888,0.200928,0.37658
conv-bn-relu_lut_Y4UCBD.onnx,7,896,224,1,1,9.845472,0.200928,0.14592
conv-bn-relu_lut_YHE89Y.onnx,14,1344,224,1,1,59.05088,0.30128,0.5382100000000001
conv-bn-relu_lut_7SLB0T.onnx,7,1344,224,1,1,14.76272,0.30128,0.17668999999999996
conv-bn-relu_lut_2J1ER1.onnx,14,1792,224,1,1,78.719872,0.401632,0.6961900000000001
conv-bn-relu_lut_UXDJO1.onnx,7,1792,224,1,1,19.679968,0.401632,0.221512
conv-bn-relu_lut_QEQXPM.onnx,14,896,240,1,1,42.19488,0.21528,0.43592800000000004
conv-bn-relu_lut_SAPXNU.onnx,7,896,240,1,1,10.54872,0.21528,0.153766
conv-bn-relu_lut_O7B8NR.onnx,14,1344,240,1,1,63.2688,0.3228,0.636386
conv-bn-relu_lut_3AXWRR.onnx,7,1344,240,1,1,15.8172,0.3228,0.20721399999999995
conv-bn-relu_lut_F2Z4HO.onnx,14,1792,240,1,1,84.34272,0.43032,0.7611359999999999
conv-bn-relu_lut_ID61R9.onnx,7,1792,240,1,1,21.08568,0.43032,0.24058199999999996
conv-bn-relu_lut_MT0IDC.onnx,14,896,256,1,1,45.007872,0.229632,0.42279
conv-bn-relu_lut_6HF481.onnx,7,896,256,1,1,11.251968,0.229632,0.15256399999999998
conv-bn-relu_lut_DZ7NKJ.onnx,14,1344,256,1,1,67.48672,0.34432,0.6104940000000001
conv-bn-relu_lut_OK3FUA.onnx,7,1344,256,1,1,16.87168,0.34432,0.20362799999999998
conv-bn-relu_lut_BQIJHL.onnx,14,1792,256,1,1,89.965568,0.459008,0.800978
conv-bn-relu_lut_3GVZ6E.onnx,7,1792,256,1,1,22.491392,0.459008,0.256058
conv-bn-relu_lut_F9AA92.onnx,14,240,960,1,1,45.34656,0.23136,0.5191859999999999
conv-bn-relu_lut_BA96NC.onnx,14,960,192,1,1,36.164352,0.184512,0.43311600000000006
conv-bn-relu_lut_AG9R36.onnx,7,960,192,1,1,9.041088,0.184512,0.12495599999999996
conv-bn-relu_lut_4K6YW1.onnx,14,240,1440,1,1,68.01984,0.34704,0.736618
conv-bn-relu_lut_F6L85Q.onnx,14,1440,192,1,1,54.227712,0.276672,0.508734
conv-bn-relu_lut_TWEDKE.onnx,7,1440,192,1,1,13.556928,0.276672,0.16642599999999996
conv-bn-relu_lut_3BHAWT.onnx,14,240,1920,1,1,90.69312,0.46272,0.887134
conv-bn-relu_lut_Q10LQJ.onnx,14,1920,192,1,1,72.291072,0.368832,0.6469119999999999
conv-bn-relu_lut_2AJGEJ.onnx,7,1920,192,1,1,18.072768,0.368832,0.20797200000000002
conv-bn-relu_lut_77FEF1.onnx,14,960,208,1,1,39.178048,0.199888,0.37627199999999994
conv-bn-relu_lut_FQEISB.onnx,7,960,208,1,1,9.794512,0.199888,0.13439
conv-bn-relu_lut_2NPINW.onnx,14,1440,208,1,1,58.746688,0.299728,0.540076
conv-bn-relu_lut_NHH6RK.onnx,7,1440,208,1,1,14.686672,0.299728,0.17582799999999998
conv-bn-relu_lut_GXCSUK.onnx,14,1920,208,1,1,78.315328,0.399568,0.6963659999999998
conv-bn-relu_lut_32S282.onnx,7,1920,208,1,1,19.578832,0.399568,0.22201999999999997
conv-bn-relu_lut_HO9USP.onnx,14,960,224,1,1,42.191744,0.215264,0.4405799999999999
conv-bn-relu_lut_CO6A1G.onnx,7,960,224,1,1,10.547936,0.215264,0.13983
conv-bn-relu_lut_HVWYY3.onnx,14,1440,224,1,1,63.265664,0.322784,0.571596
conv-bn-relu_lut_KP1223.onnx,7,1440,224,1,1,15.816416,0.322784,0.18639
conv-bn-relu_lut_Z8I5QT.onnx,14,1920,224,1,1,84.339584,0.430304,0.7450239999999999
